epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,3843.03,1.11097,0.99074,1.20325,0.84174,0.69424,0.78556,0.57216,1.02782,0.81365,1.11596,0.000326046,0.000326046,0.000326046
47,3926.19,1.11232,0.97678,1.20182,0.8267,0.69993,0.78792,0.57705,1.01838,0.79628,1.1144,0.000320225,0.000320225,0.000320225
48,4009.58,1.11253,0.96824,1.1956,0.83681,0.70592,0.79233,0.57959,1.01534,0.78942,1.11136,0.000314404,0.000314404,0.000314404
49,4092.66,1.11397,0.97845,1.20218,0.82299,0.71021,0.79162,0.58324,1.01039,0.78037,1.10443,0.000308582,0.000308582,0.000308582
50,4176.03,1.11611,0.97289,1.19617,0.84541,0.70608,0.79829,0.58658,1.00665,0.79264,1.10583,0.000302761,0.000302761,0.000302761
51,4258.85,1.1135,0.96758,1.19449,0.85198,0.70239,0.79554,0.59004,1.00823,0.77708,1.10473,0.00029694,0.00029694,0.00029694
52,4344.01,1.10027,0.95703,1.18831,0.82293,0.71777,0.79842,0.58862,1.00489,0.77196,1.10342,0.000291119,0.000291119,0.000291119
53,4426.33,1.09532,0.95478,1.19447,0.83161,0.71155,0.79641,0.58757,0.99959,0.77595,1.102,0.000285298,0.000285298,0.000285298
54,4508.64,1.10576,0.95556,1.19573,0.85859,0.70694,0.80294,0.59533,0.9949,0.76288,1.0982,0.000279476,0.000279476,0.000279476
55,4592.07,1.09816,0.94855,1.19063,0.86166,0.70409,0.80573,0.59498,0.99377,0.76245,1.09548,0.000273655,0.000273655,0.000273655
56,4674.99,1.1047,0.95882,1.19114,0.85562,0.70774,0.80858,0.59786,0.99518,0.75727,1.09675,0.000267834,0.000267834,0.000267834
57,4758.09,1.08216,0.93258,1.17872,0.83624,0.72838,0.8093,0.6046,0.99075,0.7479,1.09158,0.000262013,0.000262013,0.000262013
58,4841.09,1.08823,0.93869,1.18678,0.85085,0.71839,0.8121,0.60805,0.98516,0.75134,1.08807,0.000256192,0.000256192,0.000256192
